펫티켓 포스터,"첨부파일
펫티켓01
.jpg
null
파일 다운로드
필요하신분 쓰세요","허수아비2
2023.01.05. 12:30"
❤요다초코맘 논산펫티켓 SBS 동물농장 이찬종훈련사님 만났어요~꺄악 🥰😍🤩🙈🙉🙊🙀💘💖🥳💌💗❤,"오늘은 제가 기다리고 기다리던 논산 아트센터
펫티켓에 다녀왔어요~
얼마전 저는 와와당에서 논산 펫티켓에 
같이 가실분을 찾았는데요...
와와당 멤버이신 감자사랑해 맘님과 따님분을 
현장에서 만나뵙게 되었답니다^^
그리고 후기도 길어질 예정입니다😄
논산시에있는 논산시 동물보호센터 ""더함""그리고
반려인 에티켓 문제점 등등을 다룬 펫토크~!!
http://www.chungnamilbo.co.kr/news/articleView.html?idxno=667158
논산시, 펫티켓 토크쇼 개최 - 충남일보
[충남일보 전현민 기자] 충남 논산시는 다음 달 3일 논산아트센터 소극장에서 반려인과 비반려인 모두가 함께하는 펫티켓 토크쇼를 개최한다고 28일 밝혔다.시에 따르면 이번 토크쇼는 반려동물 인구 증가에 따라...
www.chungnamilbo.co.kr
저는 저희 초코문제로 훈련법 영상을 찾던중 
이찬종 훈련사님이 하시는 유튜브 
이찬종의 이삭TV 에 빠졌죠~
일단 초코 문제점이 많이 개선이 됬다는것과 동시에
센스 있으시고 잼있으시고 잘생긴 이찬종님 바라기가 됫어버렸죠..못보신분은 모르시겠지만~보신 분들이라면
엄청 잼있고 쉽게 할수있는 훈련법을 영상에 
담아주셔셔 빠져 들수밖에 없답니다^^
와와당 댕댕이들에게 문제행동이 있는 견주분들은
꼭 이찬종의 이삭TV 를 구독해주세요^^
https://youtu.be/69x_WjbFE7Y
이찬종의 이삭TV를 구독하셨다면 
재끼찬도 구독을 하게 될수밖에 없답니다^^
재미있기도 하지만 유기견을 구조하고 치료하고
좋은일을 많이 하셔셔 감동을 받았거든요..
항상 유기견 구조에 힘써 주셔셔 감사합니다😍
https://youtu.be/1ArfN-E9nHU
그럼 요다초코맘이 꿈에그리던 
이찬종 훈련사님을 만나뵈러 가볼까요❤
아래 사진은 와와당 멤버이신 루까맘님께서 
잘 다녀 오라며 만들어 주셨는데요...
찬종쌤 싸인 못받으면 서울에 올생각도 
하지 말라는 말과 함께...
루까맘님 감사합니다........😰😨😱
이제 봉봉 부채를 들고 논산으로 출발~~~
참고로 저는 혼자서는 서울에서 멀리 가본적은 처음이라.
시행착오도 많을 것이고 두려움도 있었지만..
갓 찬종님을 만나뵈러 용기내봅니다^^;;
뭐..아니나 다를까 출발부터  ktx 자리 잘못 앉은것..
18호 14D였던거 같은데...5호 14D 에...😭
ktx는 출발했고  18호까지 뛰뛰...😱
펫티켓은 14시부터 16시까지 였지만
논산시에 도착하니 12시
아트센터 근처 카페에 자리를 잡고~
아주친절한 택시 기사님께서 아트센터 가는 지름길도 
알려주시고 시간을 보내던중....
감자사랑해맘님께 카톡이 왔지요..
용기가 없으신 부끄러운신 감자맘님 감사합니다 🙏 
초특급 울트라급으로 뛰뛰..😱
택시기사님이 알려주신 지름길로 열시미 달리던중
아트센터 지상 주차장에 도착을 했는데..
쩌~~~~어 멀리 낯익은 뒷모습 ..
이찬종의 이삭TV 에서만 봤던 그 모습..
심장은 미친듯 나대고..멀리 계셨지만 다가갈수록 
가야되 말아야되..발걸음은 어느새 찬종쌤 옆으로..
❤요다초코맘 논산펫티켓 SBS 동물농장 이찬종훈련사님~꺄악
재생 수
38
00:00 | 00:37
화질 선택 옵션
자동

접기/펴기
❤요다초코맘 논산펫티켓 SBS 동물농장 이찬종훈련사님~꺄악🥰😍🤩🙈
용기내어 인사를 드리니 인사도 받아주시고 
부랴부랴 들고간 부채를 꺼내드니
부채를 보자마자 웃어주시고ㅎㅎ
싸인도 해주시고 사진도 찍어주시고 완전 갬동😭❤
이게 뭐선일이고~~~~~~🥰😍🤩
루까맘님 사랑해요😍
제손은 덜덜덜 심장은 쿵쾅쿵쾅 심장어택🙈🙉🙊
부채 3개나 싸인을 해주시고 ~
휴대폰을 달라고 하시더니 셀까도 직접 찍어주신
진짜 매너도 친절도역시 갓찬종님🥰😍🤩
오늘은 요다초코가 아닌 제가 계탓네요😻
찬종쌤이 루카맘님 부채를 들고계셨는데..
사진에 담기질 않았어요 악ㅋㅋㅋㅋㅋㅋㅋ🙏
펫토크쇼가 끝나고 사진이나 싸인해 주는 시간이
없다고 하시면서 저보고 운이 좋다며 농담까지 해주신♡
제가 하도 갓찬종 이라고해서 사람들이 
이, 씨가 아닌 갓,씨로 알고계신다고ㅋㅋㅋㅋ
그러고 보니 저와 성이 같으시네요~
루까맘님 저 미션클리어 했으니 서울 갈수있쥬^^?
곧 오후2시 ~ 나대는  심장과함께 공연장으로 뛰뛰~
개엄마 쒼나쒼나~~😁😆😃😀😄
학교 다닐때도 연예인을 한번도 따라 다녀보질 않았는데..
나이먹고 이제서야...창피하닷ㅠㅠ
먼저 입장해계신 감자맘님과 따님과 맨 앞자리를 겟~~!!!
혼자선 부채들고 있기가 참 민망도 했지만
감자맘님의 예쁜 따님분이 같이 들어주었어요🙊
함께여서 덜 창피했네요🙏
첨뵙는 감자맘님 어쩜 그리도 고우신지요😘
동물농장 이찬종 훈련사님과 박순석 수의학박사님 
논산시 동물 보호센터에 항상 구조에 힘써주시는
김동현 동물보호 팀장님~
무대위로 오르시며 펫티켓 토크쇼 시작~♡
펫티켓에 관한 질병에 관한 질문과 훈련법 교정법 질문에
답 해주시며 한창 토크쇼가 진행 되었는데요~
토크 중간에 오마이갓~!!!!!!!
제앞으로 다가오시는 이찬종 훈련사님~~
부채를 달라고 하시더니 장난기발동^^;;;;
너무너무 행복한순간 심장멎는줄😍
펫토크쇼가 끝이나고 쏟아지는 질문에 가까이에서 
마지막까지 질문에 답해주시고 우힛🙏
봉봉부채는 선물로(?) 드리고~^^;
펫 토크쇼에 부모님과 자녀분들이 많으셨는데요~
아이들이 싸인과 사진을 요청하니 
기꺼이 응해주시는 찬종쌤~~😍 
저에게 싸인펜을 달라고 하시고선~
쏜살같이 어디론가 달려 가시더니...
A4 용지를 직접 구해오신 찬종쌤♡
싸인 하시랴 사진 찍으시랴~
바닥에 내려놓은 봉봉 부채가 맘에 걸리셨는지 ~
주워서 저에게 가지고 있으라고 주시는 우앙~~!!!
사진과 싸인을 해주시고~ 퇴장하여 더운 날씨인데도
불구하고 싸인과 사진을 또 찍어 주셨답니다♡
콩닥콩닥~^^ 시간아 멈춰라!!!!
너무 행복했던 순간들❤
평생운을 오늘 다썼네요^^;; 그래도 쪼아💓
이찬종 훈련사님 감사합니당❤🙏
마지막 가시는 순간까지 부채를 흔들어 주시며~
손인사 까지 해주시고~
요다,초코맘은 오늘 눈뽕 지대로 맞았네요😻
오늘 잠 다잤다용..😭😭😭
마지막으로 정말 귀한 영상보시고~
우리 와와당 멤버님들 유튜브~
이찬종의 이삭TV 꼭꼭 구독 좋아요 해 주실꺼지요~?
해주시면 진짜진짜 감사할것같아요~
우히히 깨알홍보~❤
❤요다초코맘 논산펫티켓 SBS 동물농장 이찬종훈련사님~꺄악
재생 수
27
00:00 | 01:30
화질 선택 옵션
자동

접기/펴기
❤요다초코맘 논산펫티켓 SBS 동물농장 이찬종훈련사님~꺄악🥰😍🤩🙈
너무 뵙고 싶었던 분을 직접 눈으로 뵈니 제가
무슨말을 햇는지 덜덜덜 횡설수설 악ㅋㅋㅋㅋ
꿈같은 하루를 보내고 터미널 근처 카페에서 
오늘일을 떠올리며 서울가는 버스를 기다립니다..
버스 시간이 다가와 터미널로 가려는데...
갑자기 거센 비바람과 비가...우산도 없고...
논산에 사시는 분들은 모두 천사 인가봅니다
카페 직원분이 우산을 주시네요 개감동♡
저 서울가는 사람이라고 했더니 가져 가시라고♡
부랴부랴 싸인받은게 빗물에 젖을까 꼭 끌어안고 
고속버스 터미널로가서 예매표 발권을 하는데
발권이 안되어 직원분께 여쭤 봤는데요...
제가구매한 표는 시외버스 터미널이라고...악..!!!!!
버스 시간은 다가오고 비는 쏟아지고 개엄마 개황당..
당황하며 이리뛰뛰 저리뛰뛰 ..😱
순간 요다,초코인줄요 ㅜㅜ
딱 10분전 버스 탑승하여  동서울 터미널에 
무사히 도착했습니다.😭😭😭
초코시키 오늘 개엄마가 안놀아 줬다고 표정 저따구네요.
개엄마가 요즘 미쳐가지고 집은 개판 오분전에..
요다초코 미안^^;; 내일은 대청소도좀 하고 
요다초코와 놀아줘야 겠어유^^;;
늦 바람이 무섭다더니 저 어쩜좋죠...😭😭😭
❤요다초코맘 논산펫티켓 SBS 동물농장 이찬종훈련사님 만났어요~꺄악
재생 수
25
00:00 | 00:54
화질 선택 옵션
자동

접기/펴기
❤요다초코맘 논산펫티켓 SBS 동물농장 이찬종훈련사님 만났어요~꺄악 🥰
다행히도 저는 비맞은 생쥐꼴이 됫지만
A4 용지에 받은 싸인은 무사했답니다🙏
후기를 쓰며 동이트고 한번더 설레고 
심장이 아직도 미친것같아요..
정말 너무너무 행복하네요🙈
와와당 회원님들도 행복한 하루되세요❤","루까맘
아이고~배야♡안본눈 삽니다.ㅋ
2022.07.04. 05:18"
"반려인,비반려인 펫티켓 지켜주세요.(허락없이 만지지마세요)","아파트에 살면서
반려인들이 지켜야할 펫티켓은 너무나도 중요하고 
당연합니다.
(동물등록, 목줄착용, 목줄 짧게 잡아서 남에게 피해주지않기,대소변 뒷처리, 짖지 않게 교육하기)
그런데
비반려인들의 펫티켓도 지켜주세요.
(강아지는 소중한 저희가족입니다.)
☆ 허락없이 만지지 말아주세요..
""만지지말라는"" 와펜만 주렁주렁 달고 다니는데도
귀엽다며 허락없이 만지시려는분들이 계셔서 난감할때가 있습니다.
강아지는 사람을 좋아하고
이쁘다고하면 더 좋아합니다 
그렇지만
매일 같은 컨디션은 아닐수있어요.
아픈날도 있고 예민한 날도 있습니다..
코로나시대라 함부로 만지는것이
주인에게 스트레스일수도 있습니다..
☆ 이리오라고 부르지마세요ㅜㅜ 
☆ 부모님들 어린아이들에게 강아지만져보라고 하지말아주세요. (허락은 강아지주인에게 받으셔야죠ㅜㅜ 혹시나 아기나 강아지가 둘 중 하나라도 다칠까봐 겁이 납니다..)
☆ 반려인분들 강아지 인사시킨다고 다기오시는것도 제발 물어봐주세요.. (손사레치며 싫다는데도 본인강아지는 착하다며 다가오셔서 기분 상한적이 한두번이 아닙니다)
무서워요.. 저도 사람입니다.. 남의강아지 눈으로만 보고싶어요..
사람이 중요합니다.
그리고 강아지를 키우는 저도 사람입니다.
서로 이해하고 배려할수있는 건강하고 성숙한 반려동물 문화가 자리잡길 바랍니다 🙏 ",[0]
[공유]농림식품축산부 펫티켓 포스터,"안녕하세요! 
제가 전에 이더 임보자님 임보일기글에 저는 아파트에서 이웃간에 반려견 키우는걸로 분쟁을 겪은 적이 있어서...
(반짝이 키울때!! 반짝이한테 입마개 하라고 ㅈㄹㅈㄹ 하던 아오... 세상에 그  착하고 성격 좋은애한테 ㅠㅠ... 제가 나중에 입양가족분께 그 이야기 했더니 너무나 놀랍다고 하셨음....) 
그 당시 수소문해서 농림식품축산부에 연락해서 이런 포스터를 받았다고 댓글을 썼더니 
그 후로 몇분이 공유해달라고 하셔서욤 
저도 당시에 도저히 말이 안통하다가 그나마 이거 들고갔더니 나름 공신력있는 곳의 포스터니 그럼 붙여주겠다고 하더라고요. 
아파트에서 자기들끼리 말도 안되는 내용으로 공고 올리는것보다는 훨 낫다고 봅니다 
요기에 씁니다~~~ 
필요하신 분들 pdf 파일인데 첨부해볼게요! 
다운 안되시면 저한테 쪽지로 메일 주소 남겨주시면 메일로 파일원본 공유드리겠습니다! 
첨부파일
펫티켓
.pdf
null
파일 다운로드","너구리
좋은 정보 공유 감사합니다!
2022.07.23. 13:13"
펫티켓관련 공고문 만들어봤어요,"첨부파일
펫티켓
.pptx
파일 다운로드
나름..만족스러워서 조심스레 올려봅니다
관련 포스터를 찾아보려고 했으나 찾기가 쉽지 않아서 그냥 만들었어요
맘껏 갖다가 사용하십쇼..
사진을 여기 저기서 가져오긴 했지만.. ","호힛
감사합니다.^^
2022.05.03. 15:56"
안녕하세요 펫티켓 문화개선을 위한 반려동물 산책 어플 설문조사 한번만 부탁드립니다! (기프티콘증정있어요),"https://forms.gle/kKXEx27C3mi5y1M59
반려견 산책 APP 설문
펫티켓개선을 위한 반려견 산책 app를 위한 설문조사입니다! 추첨을 통해 3분께 스타벅스 기프티콘을 드립니다!
forms.gle
안녕하세요 uiux 포트폴리오 작업중인 디자이너입니다! 펫티켓 문화개선을 위한 반려동물 산책 어플 제작을 위한 설문조사 중입니다.
참여해주신 총 3분께 기프티콘도 증정해드리니깐 한번만 참여부탁드립니다!","오뇽꾸
참여했습니다! 제 게시물 설문조사도 부탁드려요🥳
2022.10.13. 13:30"
안녕하세요 펫티켓 문화개선을 위한 반려동물 산책 어플 설문조사 한번만 부탁드립니다! (기프티콘증정있어요),"https://forms.gle/kKXEx27C3mi5y1M59
반려견 산책 APP 설문
펫티켓개선을 위한 반려견 산책 app를 위한 설문조사입니다! 추첨을 통해 3분께 스타벅스 기프티콘을 드립니다!
forms.gle
안녕하세요 uiux 포트폴리오 작업중인 디자이너입니다! 펫티켓 문화개선을 위한 반려동물 산책 어플 제작을 위한 설문조사 중입니다.
참여해주신 총 3분께 기프티콘도 증정해드리니깐 한번만 참여부탁드립니다!","지그재후리
앱 개발 하시나봐요.
도움이 되길 바랍니당~~
2022.10.13. 10:13"
겟백 펫티켓 도트망사(강아지 가방 슬링백 이동가방 덮개),"겟백 펫티켓 도트망사(강아지 가방 슬링백 이동가방 덮개) 
미개봉 새상품
15000원 판매합니다(택비 2500원/ 반값택배 가능)
안심 문자 연락주세요~",[0]
반려견 펫티켓 잘지켜진다 생각하세요??,"https://docs.google.com/forms/d/1Lj_RY7yYzdxrTryQNvGLfB_dPwbmnAjhOcFCDl1briU/edit
반려견 산책 펫티켓 관련 서비스 설문조사
펫티켓(Petiquette)은 애완동물을 가리키는 영어인 펫(Pet)과 에티켓(Etiquette)의 합성어로 반려동물을 키울 때 지켜야할 사항에 대한 신조어 입니다. 반려견 산책 펫티켓 서비스를 통해 반려인이라면 알아야 할 펫티켓과 산책 관련 정보를 제공하고 산책 경로 및 시간을 기록합니다.반려견의 산책 시간 관리에 도움을 주고 펫티켓 관련 정보를 제공하여 반려인과 반려견 모두 즐거운 산책시간이 될 수 있는 성숙한 펫티켓 문화를 만들어 나가고자 합니다. 위와 같은 서비스를 제작하기 위해 반려견 산책 서비스와 펫티켓에 대한 여러분들의...
docs.google.com
안녕하세요 반려견 펫티켓 앱 기획중에 있어 카페 회원님들의 의견이 필요합니다!1~2분정도 소요되는 짧은 설문지이니 많은 참여 부탁드립니다:)",[0]
펫티켓,"우리 강아지와 나누는 더 깊은대화<우나더> 카페는 반려견문제행동과 반려견교육(훈련) 방법에 대해 함께 고민하며 개의 습성과 행동에 대해 이해하고 인간과 개가 함께 사는데 문제가 발생하지 않도록 올바른 방법으로 교육하는 반려견 보호자들의 모임장소 입니다. 
사랑이는 응아하고 깨끗이 치웠어요.","준호
2023.02.01. 19:29"
"제주항공, 항공 여행 펫티켓 캠페인 실시","제주항공이 최근 급증하는 반려동물 동반 여행객을 위해 ‘항공 여행 펫티켓(펫+에티켓) 캠페인’을 시작했다고 3일 밝혔다.
제주항공은 캠페인을 통해 운송·케이지 규정 등 기내에서의 안전 펫티켓 등을 보다 쉽게 이해하도록 돕는다.
현재 제주항공에서 기내에 함께 탑승할 수 있는 반려동물은 개, 고양이, 새 등 3종류다. 성인 1명당 1마리의 반려동물과 탑승이 가능하며 반려동물은 가로 37cm, 높이 23cm 이하에 삼면의 합이 100cm 이하의 케이지를 이용해 본인좌석을 기준으로 앞좌석 하단에 보관해야 한다.
케이지가 없다면 체크인 카운터에서 유료로 구매할 수 있으며 국내선과 국제선 모두 애완동물 운송 서약서를 작성해야 한다. 국제선은 추가로 검역증명서와 광견병 예방 접종 증명서 등 목적지 국가의 필요 서류를 반드시 확인해야 한다.
올해 들어 지난달까지 제주항공에 탑승한 반려동물은 총 7894마리로, 지난해 같은 기간 4389마리보다 1.8배 증가했다. 현재 추세라면 올 한해 2만마리 넘게 수송할 것으로 예상된다.
제주항공 관계자는 “오는 10일까지 제주항공 공식 소셜네트워크서비스(SNS) 댓글 및 태그 이벤트에 참여하면 추첨을 통해 반려동물 무료항공권, 덴탈케어 세트 등을 증정하니 많은 참여 바란다”고 말했다.
(파이낸셜뉴스 / 권준호 기자)","드보라 제나
어머나..모델들이 너무~~~귀엽자낭~~
2022.05.04. 21:49"
[이벤트] 울산 강아지 카페 캠페인2 (펫티켓),"반갑습니다^^
울산 강아지 카페 매니저입니다.
울산 강아지 카페 펫티켓 캠페인
첫번째 배변을 잘치우는 울산 강아지 카페 캠페인에 힘 입어
강아지를 키우는 모두가 즐거운 그날을 위해
울산 강아지 카페 펫티켓 캠페인 두번째를 진행하겠습니다.
캠페인도 참여하고 선물도 받고!
캠페인 참여방법
울산 강아지 릴레이 게시판 참여
본 게시글에 참여합니다 댓글 필수❗
1. 제목에 순번을 꼭 붙여주시고 제목은 아래 예시와 같이 작성
ex) 1. 울산 강아지카페 캠페인
2. 울산 애견카페 캠페인
3. 울산 휴대폰성지 X 울산 강아지
2. 내용 - 리드줄을 하고 산책하기 인증
반려견과 산책시 리드줄을 하고 있는 모습 또는 산책하면서 오프리쉬를 하는 사례를 인증해주세요.
예)
순번이 중복되지 않게 조심해주세요
무제한 참여가능
이벤트 기간
03.01~03.31
회원님들의 게시글에 응원 댓글 많이 부탁드립니다.
이벤트 많은 참여와 관심 부탁드립니다.
캠페인 참여 선물
Next image
1. 강아지 노즈워크 장난감 7종 세트
2. 풉백 배변봉투 120매
(추첨을 통해 노즈워크장난감 1명, 배변봉투 1명에게 드립니다.)
위 선물은 제휴업체 울산 휴대폰성지 에서 협찬해주셨습니다.
울산 강아지무료분양, 강아지 분양, 애견카페, 애견동반 식당 카페, 애견, 병원, 운동장 
울산 강아지 카페 : https://cafe.naver.com/jola3guckji","복많이 받으세요
이번에는 휴대폰성지에서 협찬해주는군요~👍👍바람직한 반려문화를 선도하는 우리 울산강아지카페와 협찬친구.. 흥하라 흥~😘😘
이번 캠페인도 우리복많이는 함께 할께요^^
2022.02.28. 23:38"
